stated_monthly_income,loan_amount,bank_ending_balance,bank_has_overdrafts,bank_has_consistent_deposits,monthly_withdrawals,monthly_deposits,num_documents_submitted,has_documentation,income_ratio,income_covers_loan_3x,suspected_misrepresentation,withdrawal_to_deposit_ratio,low_balance,employment_encoded
3683.0,2000,3084.0,False,True,1927.0,3337.0,1,1,0.9399945696443117,0,0,0.5774647887323944,0,2
2011.0,1500,1525.0,False,True,776.0,1844.0,2,1,0.9348582794629537,0,0,0.420824295010846,0,0
820.0,1500,4091.0,False,True,145.0,180.0,2,1,0.2451219512195122,0,1,0.8055555555555556,0,1
6370.0,2000,2254.0,False,True,4673.0,5222.0,2,1,0.9230769230769231,1,0,0.8948678667177327,0,2
3795.0,2000,836.0,False,True,2168.0,3180.0,1,1,0.9678524374176548,0,0,0.6817610062893081,0,2
7239.0,3000,2631.0,False,True,2132.0,6705.0,2,1,1.0310816411106507,0,0,0.3179716629381059,0,2
1902.0,5000,1976.0,False,True,1639.0,1770.0,0,0,-1.0,0,0,0.9259887005649717,0,1
4966.0,1500,1767.0,False,False,2474.0,4946.0,0,0,-1.0,1,0,0.5002021835826931,0,1
2986.0,500,3783.0,False,True,1610.0,2717.0,0,0,-1.0,1,0,0.5925653294074347,0,1
1364.0,1000,1018.0,False,True,540.0,1114.0,2,1,0.9252199413489736,0,0,0.48473967684021546,0,2
2098.0,2000,2880.0,False,False,1401.0,1811.0,1,1,0.9861773117254529,0,0,0.7736057426836003,0,0
6417.0,300,847.0,False,False,3355.0,5450.0,2,1,0.9694561321489793,1,0,0.6155963302752293,0,1
4578.0,300,2169.0,False,True,1552.0,4020.0,2,1,0.9991262560069899,1,0,0.38606965174129354,0,2
5100.0,300,207.0,False,True,1809.0,4918.0,0,0,-1.0,1,0,0.3678324522163481,1,2
5774.0,2000,1006.0,False,True,3876.0,5024.0,1,1,1.012642881884309,0,0,0.7714968152866242,0,2
2656.0,1500,1877.0,False,False,1255.0,2765.0,1,1,1.0414156626506024,0,0,0.4538878842676311,0,2
4206.0,1000,4722.0,False,True,1460.0,3748.0,2,1,0.9598193057536852,1,0,0.3895410885805763,0,2
6191.0,500,2151.0,False,False,3603.0,5768.0,0,0,-1.0,1,0,0.6246532593619972,0,2
3119.0,2000,4482.0,False,False,2316.0,2818.0,0,0,-1.0,0,0,0.8218594748048261,0,2
5142.0,1000,2330.0,False,False,2163.0,4494.0,2,1,0.9165694282380397,1,0,0.48130841121495327,0,1
2965.0,1000,1419.0,False,True,1235.0,2575.0,1,1,0.9433389544688027,0,0,0.4796116504854369,0,2
5700.0,1500,4309.0,False,True,4019.0,4774.0,2,1,0.9312280701754386,1,0,0.8418516966904064,0,2
4947.0,1500,2656.0,False,True,408.0,1030.0,2,1,0.2338791186577724,1,1,0.39611650485436894,0,2
2577.0,1000,1036.0,False,False,1637.0,2336.0,2,1,0.916569654637175,0,0,0.7007705479452054,0,2
3223.0,1500,2706.0,False,False,2399.0,2606.0,2,1,0.9047471300031027,0,0,0.9205679201841903,0,1
3898.0,1000,1561.0,False,False,3017.0,3563.0,2,1,0.9984607491021037,1,0,0.8467583497053045,0,2
3785.0,2000,0.0,True,True,1162.0,3416.0,0,0,-1.0,0,0,0.3401639344262295,1,2
5301.0,500,3404.0,False,True,2338.0,4603.0,2,1,1.0062252405206564,1,0,0.5079296111231806,0,2
6723.0,500,3642.0,False,True,2315.0,5896.0,2,1,0.9991075412762159,1,0,0.39263907734056985,0,2
8341.0,2000,4757.0,False,True,6162.0,6720.0,2,1,0.9171562162810215,1,0,0.9169642857142857,0,1
5093.0,2000,2633.0,True,True,4314.0,4585.0,1,1,0.9436481445120753,0,0,0.9408942202835333,0,2
5643.0,500,1627.0,False,True,2140.0,4727.0,2,1,0.9193691298954457,1,0,0.4527184260630421,0,2
921.0,500,3252.0,False,False,672.0,914.0,1,1,1.0260586319218241,0,0,0.7352297592997812,0,0
985.0,2000,3275.0,False,False,808.0,953.0,1,1,1.0121827411167512,0,0,0.8478488982161595,0,0
2664.0,2000,4457.0,True,False,984.0,2178.0,2,1,0.9301801801801802,0,0,0.45179063360881544,0,1
5129.0,1500,1752.0,False,True,1583.0,5153.0,2,1,1.0450380191070383,1,0,0.3071996895012614,0,2
618.0,1500,2806.0,False,True,514.0,581.0,0,0,-1.0,0,0,0.8846815834767642,0,2
5655.0,300,0.0,True,True,4529.0,5106.0,1,1,0.9396993810786914,1,0,0.8869956913435174,1,2
6356.0,1000,3164.0,False,True,1947.0,5083.0,1,1,0.9315607300188798,1,0,0.3830415109187488,0,2
1456.0,300,2882.0,False,True,615.0,1422.0,2,1,1.0178571428571428,1,0,0.43248945147679324,0,2
500.0,1000,2878.0,False,False,253.0,447.0,1,1,1.002,0,0,0.5659955257270693,0,0
5929.0,1000,2207.0,False,True,1101.0,1363.0,1,1,0.2457412717152977,1,1,0.8077769625825385,0,2
6514.0,1000,4299.0,False,False,3959.0,5675.0,1,1,0.9829597789376727,1,0,0.6976211453744493,0,1
5031.0,300,3308.0,False,False,3064.0,4833.0,2,1,0.9844961240310077,1,0,0.6339747568797848,0,2
3908.0,1000,1089.0,False,True,2493.0,3641.0,2,1,1.0102354145342887,1,0,0.6847020049436968,0,2
4726.0,2000,1116.0,False,True,1525.0,4207.0,1,1,0.9405416842996192,0,0,0.3624910862847635,0,2
7062.0,1000,680.0,False,True,4178.0,6844.0,0,0,-1.0,1,0,0.6104617182933957,0,2
1329.0,2000,2827.0,False,False,368.0,390.0,2,1,0.2979683972911964,0,1,0.9435897435897436,0,0
4501.0,1000,500.0,False,True,1462.0,4088.0,2,1,0.9462341701844035,1,0,0.3576320939334638,0,1
1835.0,1000,3625.0,False,False,1002.0,1572.0,2,1,0.9820163487738419,0,0,0.6374045801526718,0,0
2918.0,1500,3984.0,False,False,400.0,813.0,2,1,0.2847840986977382,0,1,0.4920049200492005,0,1
5184.0,5000,681.0,False,True,3340.0,5132.0,2,1,1.0499614197530864,0,0,0.6508183943881528,0,2
1197.0,500,1722.0,False,False,732.0,1088.0,2,1,0.9649122807017544,0,0,0.6727941176470589,0,0
5485.0,300,2025.0,False,True,3530.0,5226.0,2,1,0.9642661804922515,1,0,0.6754688097971681,0,2
4621.0,1500,3326.0,False,False,3501.0,4100.0,0,0,-1.0,1,0,0.8539024390243902,0,2
4562.0,3000,4414.0,True,True,2283.0,4126.0,2,1,1.020824199912319,0,0,0.5533204071740184,0,2
2655.0,5000,0.0,True,True,501.0,789.0,2,1,0.3205273069679849,0,1,0.6349809885931559,1,2
6325.0,1000,1523.0,False,False,1813.0,5903.0,2,1,0.9694861660079052,1,0,0.30713196679654414,0,2
4883.0,1000,1601.0,False,True,3454.0,4248.0,2,1,0.9485971738685235,1,0,0.8130885122410546,0,2
5886.0,1500,0.0,False,False,2584.0,5514.0,2,1,0.991335372069317,1,0,0.4686253173739572,1,1
9790.0,1500,1272.0,True,True,7700.0,9268.0,1,1,1.0314606741573034,1,0,0.8308157099697885,0,2
5448.0,1500,2642.0,False,True,2425.0,5130.0,0,0,-1.0,1,0,0.4727095516569201,0,2
3872.0,3000,1582.0,False,True,1060.0,3453.0,2,1,0.9163223140495868,0,0,0.3069794381697075,0,2
4360.0,2000,0.0,True,True,1477.0,3687.0,1,1,0.9642201834862385,0,0,0.40059669107675616,1,2
5170.0,1000,2399.0,False,True,2542.0,5005.0,0,0,-1.0,1,0,0.5078921078921079,0,2
544.0,1000,353.0,True,False,177.0,470.0,2,1,0.9613970588235294,0,0,0.37659574468085105,1,1
3998.0,1000,2391.0,False,True,1545.0,3079.0,2,1,0.903951975987994,1,0,0.5017862942513803,0,2
7810.0,300,1754.0,False,False,2420.0,7457.0,2,1,0.9847631241997439,1,0,0.32452728979482365,0,2
2604.0,500,0.0,False,False,1481.0,2341.0,0,0,-1.0,1,0,0.6326356258009398,1,1
2831.0,1000,395.0,True,False,1151.0,2622.0,1,1,1.0250794772165313,0,0,0.43897787948131195,1,1
1414.0,1000,4916.0,False,False,496.0,1267.0,1,1,0.9688826025459689,0,0,0.3914759273875296,0,1
6279.0,1500,2551.0,False,False,3352.0,5785.0,1,1,0.9643255295429208,1,0,0.5794295592048401,0,2
5727.0,1000,3655.0,False,True,3941.0,5722.0,2,1,1.034573074908329,1,0,0.6887451939881161,0,2
3730.0,500,1766.0,False,False,1154.0,3390.0,0,0,-1.0,1,0,0.34041297935103243,0,2
4028.0,5000,1870.0,True,True,2005.0,3585.0,2,1,0.9374379344587885,0,0,0.5592747559274756,0,1
5988.0,3000,3636.0,False,False,2966.0,5972.0,1,1,1.0409151636606546,0,0,0.49665103817816475,0,1
