stated_monthly_income,documented_monthly_income_filled,loan_amount,bank_ending_balance,bank_has_overdrafts,bank_has_consistent_deposits,monthly_withdrawals,monthly_deposits,num_documents_submitted,has_documentation,income_ratio,income_discrepancy,suspected_misrepresentation,loan_to_income_ratio,income_covers_loan_3x,withdrawal_to_deposit_ratio,net_monthly_flow,balance_to_loan_ratio,low_balance,employment_encoded
3683.0,3462.0,2000,3084.0,False,True,1927.0,3337.0,1,1,0.9399945696443117,0.0600054303556883,0,0.5430355688297583,0,0.5774647887323944,1410.0,1.542,0,2
2011.0,1880.0,1500,1525.0,False,True,776.0,1844.0,2,1,0.9348582794629537,0.06514172053704624,0,0.7458975634012929,0,0.420824295010846,1068.0,1.0166666666666666,0,0
820.0,201.0,1500,4091.0,False,True,145.0,180.0,2,1,0.2451219512195122,0.7548780487804878,1,1.829268292682927,0,0.8055555555555556,35.0,2.727333333333333,0,1
6370.0,5880.0,2000,2254.0,False,True,4673.0,5222.0,2,1,0.9230769230769231,0.07692307692307693,0,0.3139717425431711,1,0.8948678667177327,549.0,1.127,0,2
3795.0,3673.0,2000,836.0,False,True,2168.0,3180.0,1,1,0.9678524374176548,0.03214756258234519,0,0.5270092226613966,0,0.6817610062893081,1012.0,0.418,0,2
7239.0,7464.0,3000,2631.0,False,True,2132.0,6705.0,2,1,1.0310816411106507,0.03108164111065064,0,0.4144218814753419,0,0.3179716629381059,4573.0,0.877,0,2
1902.0,0.0,5000,1976.0,False,True,1639.0,1770.0,0,0,-1.0,-1.0,0,2.6288117770767614,0,0.9259887005649717,131.0,0.3952,0,1
4966.0,0.0,1500,1767.0,False,False,2474.0,4946.0,0,0,-1.0,-1.0,0,0.30205396697543296,1,0.5002021835826931,2472.0,1.178,0,1
2986.0,0.0,500,3783.0,False,True,1610.0,2717.0,0,0,-1.0,-1.0,0,0.16744809109176156,1,0.5925653294074347,1107.0,7.566,0,1
1364.0,1262.0,1000,1018.0,False,True,540.0,1114.0,2,1,0.9252199413489736,0.0747800586510264,0,0.7331378299120235,0,0.48473967684021546,574.0,1.018,0,2
2098.0,2069.0,2000,2880.0,False,False,1401.0,1811.0,1,1,0.9861773117254529,0.013822688274547188,0,0.9532888465204957,0,0.7736057426836003,410.0,1.44,0,0
6417.0,6221.0,300,847.0,False,False,3355.0,5450.0,2,1,0.9694561321489793,0.030543867851020725,0,0.04675081813931744,1,0.6155963302752293,2095.0,2.8233333333333333,0,1
4578.0,4574.0,300,2169.0,False,True,1552.0,4020.0,2,1,0.9991262560069899,0.0008737439930100481,0,0.0655307994757536,1,0.38606965174129354,2468.0,7.23,0,2
5100.0,0.0,300,207.0,False,True,1809.0,4918.0,0,0,-1.0,-1.0,0,0.058823529411764705,1,0.3678324522163481,3109.0,0.69,1,2
5774.0,5847.0,2000,1006.0,False,True,3876.0,5024.0,1,1,1.012642881884309,0.012642881884308971,0,0.3463803255975061,0,0.7714968152866242,1148.0,0.503,0,2
2656.0,2766.0,1500,1877.0,False,False,1255.0,2765.0,1,1,1.0414156626506024,0.04141566265060241,0,0.5647590361445783,0,0.4538878842676311,1510.0,1.2513333333333334,0,2
4206.0,4037.0,1000,4722.0,False,True,1460.0,3748.0,2,1,0.9598193057536852,0.04018069424631479,0,0.23775558725630053,1,0.3895410885805763,2288.0,4.722,0,2
6191.0,0.0,500,2151.0,False,False,3603.0,5768.0,0,0,-1.0,-1.0,0,0.08076239702794379,1,0.6246532593619972,2165.0,4.302,0,2
3119.0,0.0,2000,4482.0,False,False,2316.0,2818.0,0,0,-1.0,-1.0,0,0.6412311638345624,0,0.8218594748048261,502.0,2.241,0,2
5142.0,4713.0,1000,2330.0,False,False,2163.0,4494.0,2,1,0.9165694282380397,0.08343057176196032,0,0.19447685725398678,1,0.48130841121495327,2331.0,2.33,0,1
2965.0,2797.0,1000,1419.0,False,True,1235.0,2575.0,1,1,0.9433389544688027,0.0566610455311973,0,0.3372681281618887,0,0.4796116504854369,1340.0,1.419,0,2
5700.0,5308.0,1500,4309.0,False,True,4019.0,4774.0,2,1,0.9312280701754386,0.0687719298245614,0,0.2631578947368421,1,0.8418516966904064,755.0,2.8726666666666665,0,2
4947.0,1157.0,1500,2656.0,False,True,408.0,1030.0,2,1,0.2338791186577724,0.7661208813422277,1,0.30321406913280774,1,0.39611650485436894,622.0,1.7706666666666666,0,2
2577.0,2362.0,1000,1036.0,False,False,1637.0,2336.0,2,1,0.916569654637175,0.083430345362825,0,0.38804811796662786,0,0.7007705479452054,699.0,1.036,0,2
3223.0,2916.0,1500,2706.0,False,False,2399.0,2606.0,2,1,0.9047471300031027,0.0952528699968973,0,0.4654049022649705,0,0.9205679201841903,207.0,1.804,0,1
3898.0,3892.0,1000,1561.0,False,False,3017.0,3563.0,2,1,0.9984607491021037,0.0015392508978963571,0,0.2565418163160595,1,0.8467583497053045,546.0,1.561,0,2
3785.0,0.0,2000,0.0,True,True,1162.0,3416.0,0,0,-1.0,-1.0,0,0.5284015852047557,0,0.3401639344262295,2254.0,0.0,1,2
5301.0,5334.0,500,3404.0,False,True,2338.0,4603.0,2,1,1.0062252405206564,0.00622524052065648,0,0.09432182607055273,1,0.5079296111231806,2265.0,6.808,0,2
6723.0,6717.0,500,3642.0,False,True,2315.0,5896.0,2,1,0.9991075412762159,0.000892458723784025,0,0.07437156031533541,1,0.39263907734056985,3581.0,7.284,0,2
8341.0,7650.0,2000,4757.0,False,True,6162.0,6720.0,2,1,0.9171562162810215,0.08284378371897853,0,0.23977940294928665,1,0.9169642857142857,558.0,2.3785,0,1
5093.0,4806.0,2000,2633.0,True,True,4314.0,4585.0,1,1,0.9436481445120753,0.0563518554879246,0,0.392695857058708,0,0.9408942202835333,271.0,1.3165,0,2
5643.0,5188.0,500,1627.0,False,True,2140.0,4727.0,2,1,0.9193691298954457,0.08063087010455432,0,0.0886053517632465,1,0.4527184260630421,2587.0,3.254,0,2
921.0,945.0,500,3252.0,False,False,672.0,914.0,1,1,1.0260586319218241,0.026058631921824105,0,0.5428881650380022,0,0.7352297592997812,242.0,6.504,0,0
985.0,997.0,2000,3275.0,False,False,808.0,953.0,1,1,1.0121827411167512,0.012182741116751269,0,2.030456852791878,0,0.8478488982161595,145.0,1.6375,0,0
2664.0,2478.0,2000,4457.0,True,False,984.0,2178.0,2,1,0.9301801801801802,0.06981981981981981,0,0.7507507507507507,0,0.45179063360881544,1194.0,2.2285,0,1
5129.0,5360.0,1500,1752.0,False,True,1583.0,5153.0,2,1,1.0450380191070383,0.04503801910703841,0,0.29245466952622345,1,0.3071996895012614,3570.0,1.168,0,2
618.0,0.0,1500,2806.0,False,True,514.0,581.0,0,0,-1.0,-1.0,0,2.4271844660194173,0,0.8846815834767642,67.0,1.8706666666666667,0,2
5655.0,5314.0,300,0.0,True,True,4529.0,5106.0,1,1,0.9396993810786914,0.06030061892130858,0,0.05305039787798409,1,0.8869956913435174,577.0,0.0,1,2
6356.0,5921.0,1000,3164.0,False,True,1947.0,5083.0,1,1,0.9315607300188798,0.0684392699811202,0,0.15733165512901195,1,0.3830415109187488,3136.0,3.164,0,2
1456.0,1482.0,300,2882.0,False,True,615.0,1422.0,2,1,1.0178571428571428,0.017857142857142856,0,0.20604395604395603,1,0.43248945147679324,807.0,9.606666666666667,0,2
500.0,501.0,1000,2878.0,False,False,253.0,447.0,1,1,1.002,0.002,0,2.0,0,0.5659955257270693,194.0,2.878,0,0
5929.0,1457.0,1000,2207.0,False,True,1101.0,1363.0,1,1,0.2457412717152977,0.7542587282847023,1,0.16866250632484397,1,0.8077769625825385,262.0,2.207,0,2
6514.0,6403.0,1000,4299.0,False,False,3959.0,5675.0,1,1,0.9829597789376727,0.017040221062327294,0,0.15351550506601166,1,0.6976211453744493,1716.0,4.299,0,1
5031.0,4953.0,300,3308.0,False,False,3064.0,4833.0,2,1,0.9844961240310077,0.015503875968992248,0,0.05963029218843172,1,0.6339747568797848,1769.0,11.026666666666667,0,2
3908.0,3948.0,1000,1089.0,False,True,2493.0,3641.0,2,1,1.0102354145342887,0.01023541453428864,0,0.25588536335721596,1,0.6847020049436968,1148.0,1.089,0,2
4726.0,4445.0,2000,1116.0,False,True,1525.0,4207.0,1,1,0.9405416842996192,0.05945831570038087,0,0.4231908590774439,0,0.3624910862847635,2682.0,0.558,0,2
7062.0,0.0,1000,680.0,False,True,4178.0,6844.0,0,0,-1.0,-1.0,0,0.1416029453412631,1,0.6104617182933957,2666.0,0.68,0,2
1329.0,396.0,2000,2827.0,False,False,368.0,390.0,2,1,0.2979683972911964,0.7020316027088036,1,1.5048908954100828,0,0.9435897435897436,22.0,1.4135,0,0
4501.0,4259.0,1000,500.0,False,True,1462.0,4088.0,2,1,0.9462341701844035,0.053765829815596536,0,0.22217285047767163,1,0.3576320939334638,2626.0,0.5,0,1
1835.0,1802.0,1000,3625.0,False,False,1002.0,1572.0,2,1,0.9820163487738419,0.017983651226158037,0,0.5449591280653951,0,0.6374045801526718,570.0,3.625,0,0
2918.0,831.0,1500,3984.0,False,False,400.0,813.0,2,1,0.2847840986977382,0.7152159013022619,1,0.5140507196710076,0,0.4920049200492005,413.0,2.656,0,1
5184.0,5443.0,5000,681.0,False,True,3340.0,5132.0,2,1,1.0499614197530864,0.04996141975308642,0,0.9645061728395061,0,0.6508183943881528,1792.0,0.1362,0,2
1197.0,1155.0,500,1722.0,False,False,732.0,1088.0,2,1,0.9649122807017544,0.03508771929824561,0,0.4177109440267335,0,0.6727941176470589,356.0,3.444,0,0
5485.0,5289.0,300,2025.0,False,True,3530.0,5226.0,2,1,0.9642661804922515,0.035733819507748406,0,0.054694621695533276,1,0.6754688097971681,1696.0,6.75,0,2
4621.0,0.0,1500,3326.0,False,False,3501.0,4100.0,0,0,-1.0,-1.0,0,0.3246050638389959,1,0.8539024390243902,599.0,2.2173333333333334,0,2
4562.0,4657.0,3000,4414.0,True,True,2283.0,4126.0,2,1,1.020824199912319,0.02082419991231916,0,0.657606313020605,0,0.5533204071740184,1843.0,1.4713333333333334,0,2
2655.0,851.0,5000,0.0,True,True,501.0,789.0,2,1,0.3205273069679849,0.6794726930320151,1,1.8832391713747645,0,0.6349809885931559,288.0,0.0,1,2
6325.0,6132.0,1000,1523.0,False,False,1813.0,5903.0,2,1,0.9694861660079052,0.030513833992094862,0,0.15810276679841898,1,0.30713196679654414,4090.0,1.523,0,2
4883.0,4632.0,1000,1601.0,False,True,3454.0,4248.0,2,1,0.9485971738685235,0.05140282613147655,0,0.2047921359819783,1,0.8130885122410546,794.0,1.601,0,2
5886.0,5835.0,1500,0.0,False,False,2584.0,5514.0,2,1,0.991335372069317,0.008664627930682976,0,0.254841997961264,1,0.4686253173739572,2930.0,0.0,1,1
9790.0,10098.0,1500,1272.0,True,True,7700.0,9268.0,1,1,1.0314606741573034,0.03146067415730337,0,0.15321756894790603,1,0.8308157099697885,1568.0,0.848,0,2
5448.0,0.0,1500,2642.0,False,True,2425.0,5130.0,0,0,-1.0,-1.0,0,0.2753303964757709,1,0.4727095516569201,2705.0,1.7613333333333334,0,2
3872.0,3548.0,3000,1582.0,False,True,1060.0,3453.0,2,1,0.9163223140495868,0.08367768595041322,0,0.7747933884297521,0,0.3069794381697075,2393.0,0.5273333333333333,0,2
4360.0,4204.0,2000,0.0,True,True,1477.0,3687.0,1,1,0.9642201834862385,0.03577981651376147,0,0.45871559633027525,0,0.40059669107675616,2210.0,0.0,1,2
5170.0,0.0,1000,2399.0,False,True,2542.0,5005.0,0,0,-1.0,-1.0,0,0.19342359767891681,1,0.5078921078921079,2463.0,2.399,0,2
544.0,523.0,1000,353.0,True,False,177.0,470.0,2,1,0.9613970588235294,0.03860294117647059,0,1.838235294117647,0,0.37659574468085105,293.0,0.353,1,1
3998.0,3614.0,1000,2391.0,False,True,1545.0,3079.0,2,1,0.903951975987994,0.096048024012006,0,0.25012506253126565,1,0.5017862942513803,1534.0,2.391,0,2
7810.0,7691.0,300,1754.0,False,False,2420.0,7457.0,2,1,0.9847631241997439,0.015236875800256082,0,0.03841229193341869,1,0.32452728979482365,5037.0,5.846666666666667,0,2
2604.0,0.0,500,0.0,False,False,1481.0,2341.0,0,0,-1.0,-1.0,0,0.19201228878648233,1,0.6326356258009398,860.0,0.0,1,1
2831.0,2902.0,1000,395.0,True,False,1151.0,2622.0,1,1,1.0250794772165313,0.02507947721653126,0,0.35323207347227126,0,0.43897787948131195,1471.0,0.395,1,1
1414.0,1370.0,1000,4916.0,False,False,496.0,1267.0,1,1,0.9688826025459689,0.031117397454031116,0,0.7072135785007072,0,0.3914759273875296,771.0,4.916,0,1
6279.0,6055.0,1500,2551.0,False,False,3352.0,5785.0,1,1,0.9643255295429208,0.03567447045707915,0,0.23889154323936931,1,0.5794295592048401,2433.0,1.7006666666666668,0,2
5727.0,5925.0,1000,3655.0,False,True,3941.0,5722.0,2,1,1.034573074908329,0.03457307490832897,0,0.17461148943600488,1,0.6887451939881161,1781.0,3.655,0,2
3730.0,0.0,500,1766.0,False,False,1154.0,3390.0,0,0,-1.0,-1.0,0,0.13404825737265416,1,0.34041297935103243,2236.0,3.532,0,2
4028.0,3776.0,5000,1870.0,True,True,2005.0,3585.0,2,1,0.9374379344587885,0.06256206554121152,0,1.2413108242303872,0,0.5592747559274756,1580.0,0.374,0,1
5988.0,6233.0,3000,3636.0,False,False,2966.0,5972.0,1,1,1.0409151636606546,0.04091516366065464,0,0.501002004008016,0,0.49665103817816475,3006.0,1.212,0,1
4498.0,4594.0,300,4494.0,False,True,1875.0,4110.0,2,1,1.0213428190306804,0.0213428190306803,0,0.06669630947087594,1,0.4562043795620438,2235.0,14.98,0,2
4395.0,4496.0,2000,3952.0,False,True,2694.0,3887.0,1,1,1.022980659840728,0.0229806598407281,0,0.4550625711035267,0,0.693079495755081,1193.0,1.976,0,2
3567.0,1084.0,1000,400.0,False,True,728.0,1067.0,2,1,0.303896832071769,0.696103167928231,1,0.28034763106251753,1,0.6822867853795689,339.0,0.4,1,2
5635.0,5193.0,5000,1900.0,False,True,3508.0,4941.0,2,1,0.9215616681455191,0.07843833185448092,0,0.8873114463176575,0,0.7099777373001417,1433.0,0.38,0,2
4253.0,3844.0,1000,2416.0,False,True,1468.0,3641.0,2,1,0.9038325887608747,0.09616741123912532,0,0.2351281448389372,1,0.40318593792914037,2173.0,2.416,0,1
5416.0,5067.0,500,1610.0,False,True,2114.0,4352.0,1,1,0.9355612998522895,0.06443870014771048,0,0.09231905465288036,1,0.48575367647058826,2238.0,3.22,0,1
3506.0,3563.0,1500,2582.0,False,True,1512.0,3465.0,2,1,1.0162578436965202,0.016257843696520252,0,0.4278379920136908,0,0.43636363636363634,1953.0,1.7213333333333334,0,1
7118.0,6662.0,2000,3231.0,False,True,4057.0,6229.0,2,1,0.9359370609721832,0.0640629390278168,0,0.2809778027535825,1,0.6513083962112699,2172.0,1.6155,0,2
4881.0,4927.0,500,3504.0,False,True,2887.0,4814.0,2,1,1.0094242982995287,0.009424298299528785,0,0.1024380249948781,1,0.5997091815538014,1927.0,7.008,0,2
4430.0,4154.0,2000,4529.0,False,True,2130.0,4139.0,2,1,0.9376975169300226,0.062302483069977425,0,0.45146726862302483,0,0.5146170572602078,2009.0,2.2645,0,1
2878.0,2761.0,300,1506.0,False,True,2224.0,2743.0,2,1,0.9593467685892981,0.04065323141070187,0,0.10423905489923559,1,0.8107911046299672,519.0,5.02,0,1
5642.0,5910.0,3000,0.0,False,False,2088.0,5782.0,1,1,1.0475008862105637,0.04750088621056363,0,0.5317263381779511,0,0.36112071947423036,3694.0,0.0,1,2
5017.0,4700.0,300,2537.0,False,False,3737.0,4002.0,2,1,0.93681482957943,0.06318517042057006,0,0.059796691249750844,1,0.9337831084457772,265.0,8.456666666666667,0,1
6479.0,6197.0,3000,4826.0,False,True,2289.0,6091.0,1,1,0.9564747646241704,0.043525235375829606,0,0.4630344188918043,0,0.37580036118863896,3802.0,1.6086666666666667,0,2
6781.0,6409.0,1000,1285.0,False,False,4430.0,5520.0,1,1,0.9451408346851496,0.054859165314850314,0,0.1474708745022858,1,0.802536231884058,1090.0,1.285,0,2
8884.0,8142.0,1000,3030.0,False,True,4293.0,7960.0,1,1,0.9164790634849167,0.0835209365150833,0,0.11256190904997748,1,0.539321608040201,3667.0,3.03,0,2
5869.0,5713.0,5000,3044.0,False,True,4395.0,5096.0,2,1,0.9734196626341796,0.02658033736582041,0,0.8519338899301414,0,0.8624411302982732,701.0,0.6088,0,2
5489.0,0.0,5000,2287.0,False,True,1800.0,5168.0,0,0,-1.0,-1.0,0,0.9109127345600292,0,0.34829721362229105,3368.0,0.4574,0,2
5292.0,5314.0,1500,2010.0,False,True,2472.0,4548.0,2,1,1.0041572184429328,0.0041572184429327285,0,0.2834467120181406,1,0.5435356200527705,2076.0,1.34,0,2
2849.0,2913.0,500,615.0,False,True,1458.0,2813.0,2,1,1.0224640224640225,0.022464022464022463,0,0.1755001755001755,1,0.5183078563810878,1355.0,1.23,0,1
5508.0,0.0,1500,0.0,False,True,4514.0,4774.0,0,0,-1.0,-1.0,0,0.27233115468409586,1,0.9455383326351068,260.0,0.0,1,2
2308.0,2291.0,1500,1415.0,False,False,944.0,2229.0,2,1,0.99263431542461,0.007365684575389948,0,0.6499133448873483,0,0.4235082996859578,1285.0,0.9433333333333334,0,0
6976.0,2597.0,1500,3646.0,False,True,1758.0,2479.0,1,1,0.372276376146789,0.627723623853211,1,0.21502293577981652,1,0.709156918112142,721.0,2.4306666666666668,0,2
3490.0,3464.0,300,1845.0,False,True,1910.0,2947.0,1,1,0.9925501432664756,0.007449856733524355,0,0.08595988538681948,1,0.6481167288768239,1037.0,6.15,0,2
8925.0,8950.0,2000,1221.0,True,False,3262.0,8148.0,2,1,1.0028011204481793,0.0028011204481792717,0,0.22408963585434175,1,0.40034364261168387,4886.0,0.6105,0,1
6976.0,6485.0,2000,664.0,False,True,2272.0,5553.0,2,1,0.9296158256880734,0.0703841743119266,0,0.286697247706422,1,0.40914820817576086,3281.0,0.332,0,2
4823.0,4933.0,500,2985.0,True,False,4424.0,4692.0,1,1,1.0228073812979472,0.022807381297947335,0,0.1036699149906697,1,0.9428815004262575,268.0,5.97,0,2
1817.0,717.0,1500,4038.0,False,True,424.0,713.0,2,1,0.39460649422124383,0.6053935057787562,1,0.825536598789213,0,0.5946704067321178,289.0,2.692,0,2
4088.0,4178.0,1500,3595.0,False,False,1512.0,3962.0,2,1,1.0220156555772995,0.02201565557729941,0,0.3669275929549902,0,0.38162544169611307,2450.0,2.3966666666666665,0,2
1110.0,1050.0,1500,2909.0,False,False,408.0,928.0,2,1,0.9459459459459459,0.05405405405405406,0,1.3513513513513513,0,0.4396551724137931,520.0,1.9393333333333334,0,0
1984.0,0.0,300,0.0,True,False,850.0,1792.0,0,0,-1.0,-1.0,0,0.15120967741935484,1,0.47433035714285715,942.0,0.0,1,1
5963.0,6185.0,1500,1472.0,False,False,3896.0,6163.0,2,1,1.0372295824249538,0.03722958242495388,0,0.25155123260103973,1,0.6321596625020283,2267.0,0.9813333333333333,0,1
5681.0,5386.0,1000,4921.0,False,True,2466.0,4759.0,2,1,0.9480725224432318,0.05192747755676817,0,0.17602534765006161,1,0.5181760874133221,2293.0,4.921,0,1
4216.0,4313.0,1500,3683.0,False,False,2400.0,4029.0,2,1,1.0230075901328273,0.023007590132827323,0,0.3557874762808349,0,0.5956813104988831,1629.0,2.4553333333333334,0,1
5820.0,0.0,2000,0.0,False,True,2162.0,5297.0,0,0,-1.0,-1.0,0,0.3436426116838488,0,0.40815555975080237,3135.0,0.0,1,2
6559.0,5907.0,2000,1917.0,False,False,2921.0,5701.0,1,1,0.9005946028357982,0.09940539716420187,0,0.3049245311785333,1,0.5123662515348184,2780.0,0.9585,0,1
2214.0,2245.0,1500,857.0,False,False,1777.0,2023.0,2,1,1.0140018066847336,0.014001806684733513,0,0.6775067750677507,0,0.8783984181908058,246.0,0.5713333333333334,0,1
6140.0,6253.0,5000,0.0,True,False,2547.0,5934.0,2,1,1.0184039087947883,0.018403908794788273,0,0.8143322475570033,0,0.42922143579373107,3387.0,0.0,1,1
4517.0,4145.0,3000,818.0,False,True,1949.0,3697.0,1,1,0.9176444542838167,0.08235554571618331,0,0.6641576267434137,0,0.5271842034081687,1748.0,0.27266666666666667,0,2
