applicant_id,stated_monthly_income,documented_monthly_income,loan_amount,employment_status,bank_ending_balance,bank_has_overdrafts,bank_has_consistent_deposits,monthly_withdrawals,monthly_deposits,num_documents_submitted,rule_based_score,rule_based_decision,actual_outcome,days_to_default,target,has_documentation,income_ratio,suspected_misrepresentation,income_covers_loan_3x,withdrawal_to_deposit_ratio,low_balance,employment_encoded,y_prob,y_pred
APP-0000,3683.0,3462.0,2000,employed,3084.0,False,True,1927.0,3337.0,1,67.7,flagged_for_review,repaid,,0,1,0.9399945696443116,0,0,0.5774647887323944,0,2,0.42674013413124967,0
APP-0001,2011.0,1880.0,1500,unemployed,1525.0,False,True,776.0,1844.0,2,57.3,flagged_for_review,repaid,,0,1,0.9348582794629536,0,0,0.420824295010846,0,0,0.6045302731290891,1
APP-0002,820.0,201.0,1500,self_employed,4091.0,False,True,145.0,180.0,2,30.9,denied,repaid,,0,1,0.2451219512195122,1,0,0.8055555555555556,0,1,0.7375856887376188,1
APP-0004,6370.0,5880.0,2000,employed,2254.0,False,True,4673.0,5222.0,2,87.1,approved,repaid,,0,1,0.9230769230769232,0,1,0.8948678667177327,0,2,0.35762168666071564,0
APP-0005,3795.0,3673.0,2000,employed,836.0,False,True,2168.0,3180.0,1,66.7,flagged_for_review,defaulted,134.0,1,1,0.9678524374176548,0,0,0.6817610062893081,0,2,0.5245038609255591,1
APP-0006,7239.0,7464.0,3000,employed,2631.0,False,True,2132.0,6705.0,2,81.6,approved,defaulted,160.0,1,1,1.0310816411106507,0,0,0.3179716629381059,0,2,0.4530635062292459,0
APP-0007,1902.0,,5000,self_employed,1976.0,False,True,1639.0,1770.0,0,29.7,denied,repaid,,0,0,-1.0,0,0,0.9259887005649716,0,1,0.9166173531785975,1
APP-0008,4966.0,,1500,self_employed,1767.0,False,False,2474.0,4946.0,0,50.5,flagged_for_review,defaulted,111.0,1,0,-1.0,0,1,0.5002021835826931,0,1,0.5330220337260526,1
APP-0009,2986.0,,500,self_employed,3783.0,False,True,1610.0,2717.0,0,55.6,flagged_for_review,repaid,,0,0,-1.0,0,1,0.5925653294074347,0,1,0.5465904752222948,1
APP-0010,1364.0,1262.0,1000,employed,1018.0,False,True,540.0,1114.0,2,68.7,flagged_for_review,repaid,,0,1,0.9252199413489736,0,0,0.4847396768402154,0,2,0.47733856172719996,0
