applicant_id,stated_monthly_income,documented_monthly_income,loan_amount,employment_status,bank_ending_balance,bank_has_overdrafts,bank_has_consistent_deposits,monthly_withdrawals,monthly_deposits,num_documents_submitted,rule_based_score,rule_based_decision,actual_outcome,days_to_default,target,has_documentation,income_ratio,suspected_misrepresentation,income_covers_loan_3x,withdrawal_to_deposit_ratio,low_balance,employment_encoded,y_prob,y_pred
APP-0000,3683.0,3462.0,2000,employed,3084.0,False,True,1927.0,3337.0,1,67.7,flagged_for_review,repaid,,0,1,0.9399945696443116,0,0,0.5774647887323944,0,2,0.42688716339740485,0
APP-0001,2011.0,1880.0,1500,unemployed,1525.0,False,True,776.0,1844.0,2,57.3,flagged_for_review,repaid,,0,1,0.9348582794629536,0,0,0.420824295010846,0,0,0.6045768779875247,1
APP-0002,820.0,201.0,1500,self_employed,4091.0,False,True,145.0,180.0,2,30.9,denied,repaid,,0,1,0.2451219512195122,1,0,0.8055555555555556,0,1,0.7391807545176295,1
APP-0004,6370.0,5880.0,2000,employed,2254.0,False,True,4673.0,5222.0,2,87.1,approved,repaid,,0,1,0.9230769230769232,0,1,0.8948678667177327,0,2,0.3573273381810253,0
APP-0005,3795.0,3673.0,2000,employed,836.0,False,True,2168.0,3180.0,1,66.7,flagged_for_review,defaulted,134.0,1,1,0.9678524374176548,0,0,0.6817610062893081,0,2,0.5243113868228964,1
APP-0006,7239.0,7464.0,3000,employed,2631.0,False,True,2132.0,6705.0,2,81.6,approved,defaulted,160.0,1,1,1.0310816411106507,0,0,0.3179716629381059,0,2,0.4535214528421901,0
APP-0007,1902.0,,5000,self_employed,1976.0,False,True,1639.0,1770.0,0,29.7,denied,repaid,,0,0,-1.0,0,0,0.9259887005649716,0,1,0.9166774552163616,1
APP-0008,4966.0,,1500,self_employed,1767.0,False,False,2474.0,4946.0,0,50.5,flagged_for_review,defaulted,111.0,1,0,-1.0,0,1,0.5002021835826931,0,1,0.5331886563067293,1
APP-0009,2986.0,,500,self_employed,3783.0,False,True,1610.0,2717.0,0,55.6,flagged_for_review,repaid,,0,0,-1.0,0,1,0.5925653294074347,0,1,0.5465801216133798,1
APP-0010,1364.0,1262.0,1000,employed,1018.0,False,True,540.0,1114.0,2,68.7,flagged_for_review,repaid,,0,1,0.9252199413489736,0,0,0.4847396768402154,0,2,0.4771789033942796,0
APP-0011,2098.0,2069.0,2000,unemployed,2880.0,False,False,1401.0,1811.0,1,47.8,denied,repaid,,0,1,0.9861773117254528,0,0,0.7736057426836003,0,0,0.5706090691625711,1
APP-0012,6417.0,6221.0,300,self_employed,847.0,False,False,3355.0,5450.0,2,77.8,approved,repaid,,0,1,0.9694561321489792,0,1,0.6155963302752293,0,1,0.27030469071687546,0
APP-0013,4578.0,4574.0,300,employed,2169.0,False,True,1552.0,4020.0,2,92.1,approved,repaid,,0,1,0.99912625600699,0,1,0.3860696517412935,0,2,0.19048213526868646,0
