applicant_id,stated_monthly_income,documented_monthly_income,loan_amount,employment_status,bank_ending_balance,bank_has_overdrafts,bank_has_consistent_deposits,monthly_withdrawals,monthly_deposits,num_documents_submitted,rule_based_score,rule_based_decision,actual_outcome,days_to_default,target,has_documentation,income_ratio,suspected_misrepresentation,income_covers_loan_3x,withdrawal_to_deposit_ratio,low_balance,employment_encoded
APP-0000,3683.0,3462.0,2000,employed,3084.0,False,True,1927.0,3337.0,1,67.7,flagged_for_review,repaid,,0,1,0.9399945696443117,0,0,0.5774647887323944,0,2
APP-0001,2011.0,1880.0,1500,unemployed,1525.0,False,True,776.0,1844.0,2,57.3,flagged_for_review,repaid,,0,1,0.9348582794629537,0,0,0.420824295010846,0,0
APP-0002,820.0,201.0,1500,self_employed,4091.0,False,True,145.0,180.0,2,30.9,denied,repaid,,0,1,0.2451219512195122,1,0,0.8055555555555556,0,1
APP-0004,6370.0,5880.0,2000,employed,2254.0,False,True,4673.0,5222.0,2,87.1,approved,repaid,,0,1,0.9230769230769231,0,1,0.8948678667177327,0,2
APP-0005,3795.0,3673.0,2000,employed,836.0,False,True,2168.0,3180.0,1,66.7,flagged_for_review,defaulted,134.0,1,1,0.9678524374176548,0,0,0.6817610062893081,0,2
APP-0006,7239.0,7464.0,3000,employed,2631.0,False,True,2132.0,6705.0,2,81.6,approved,defaulted,160.0,1,1,1.0310816411106507,0,0,0.3179716629381059,0,2
APP-0007,1902.0,,5000,self_employed,1976.0,False,True,1639.0,1770.0,0,29.7,denied,repaid,,0,0,-1.0,0,0,0.9259887005649717,0,1
APP-0008,4966.0,,1500,self_employed,1767.0,False,False,2474.0,4946.0,0,50.5,flagged_for_review,defaulted,111.0,1,0,-1.0,0,1,0.5002021835826931,0,1
APP-0009,2986.0,,500,self_employed,3783.0,False,True,1610.0,2717.0,0,55.6,flagged_for_review,repaid,,0,0,-1.0,0,1,0.5925653294074347,0,1
APP-0010,1364.0,1262.0,1000,employed,1018.0,False,True,540.0,1114.0,2,68.7,flagged_for_review,repaid,,0,1,0.9252199413489736,0,0,0.48473967684021546,0,2
APP-0011,2098.0,2069.0,2000,unemployed,2880.0,False,False,1401.0,1811.0,1,47.8,denied,repaid,,0,1,0.9861773117254529,0,0,0.7736057426836003,0,0
APP-0012,6417.0,6221.0,300,self_employed,847.0,False,False,3355.0,5450.0,2,77.8,approved,repaid,,0,1,0.9694561321489793,0,1,0.6155963302752293,0,1
APP-0013,4578.0,4574.0,300,employed,2169.0,False,True,1552.0,4020.0,2,92.1,approved,repaid,,0,1,0.9991262560069899,0,1,0.38606965174129354,0,2
APP-0014,5100.0,,300,employed,207.0,False,True,1809.0,4918.0,0,57.8,flagged_for_review,repaid,,0,0,-1.0,0,1,0.3678324522163481,1,2
APP-0015,5774.0,5847.0,2000,employed,1006.0,False,True,3876.0,5024.0,1,77.0,approved,defaulted,150.0,1,1,1.012642881884309,0,0,0.7714968152866242,0,2
APP-0016,2656.0,2766.0,1500,employed,1877.0,False,False,1255.0,2765.0,1,63.0,flagged_for_review,repaid,,0,1,1.0414156626506024,0,0,0.4538878842676311,0,2
APP-0017,4206.0,4037.0,1000,employed,4722.0,False,True,1460.0,3748.0,2,92.1,approved,repaid,,0,1,0.9598193057536852,0,1,0.3895410885805763,0,2
APP-0018,6191.0,,500,employed,2151.0,False,False,3603.0,5768.0,0,55.3,flagged_for_review,repaid,,0,0,-1.0,0,1,0.6246532593619972,0,2
APP-0019,3119.0,,2000,employed,4482.0,False,False,2316.0,2818.0,0,30.8,denied,defaulted,41.0,1,0,-1.0,0,0,0.8218594748048261,0,2
APP-0020,5142.0,4713.0,1000,self_employed,2330.0,False,False,2163.0,4494.0,2,79.2,approved,repaid,,0,1,0.9165694282380397,0,1,0.48130841121495327,0,1
APP-0021,2965.0,2797.0,1000,employed,1419.0,False,True,1235.0,2575.0,1,80.0,approved,repaid,,0,1,0.9433389544688027,0,0,0.4796116504854369,0,2
APP-0022,5700.0,5308.0,1500,employed,4309.0,False,True,4019.0,4774.0,2,87.6,approved,repaid,,0,1,0.9312280701754386,0,1,0.8418516966904064,0,2
APP-0023,4947.0,1157.0,1500,employed,2656.0,False,True,408.0,1030.0,2,63.5,flagged_for_review,defaulted,59.0,1,1,0.2338791186577724,1,1,0.39611650485436894,0,2
APP-0024,2577.0,2362.0,1000,employed,1036.0,False,False,1637.0,2336.0,2,71.7,flagged_for_review,defaulted,165.0,1,1,0.916569654637175,0,0,0.7007705479452054,0,2
APP-0025,3223.0,2916.0,1500,self_employed,2706.0,False,False,2399.0,2606.0,2,63.5,flagged_for_review,repaid,,0,1,0.9047471300031027,0,0,0.9205679201841903,0,1
APP-0026,3898.0,3892.0,1000,employed,1561.0,False,False,3017.0,3563.0,2,81.5,approved,repaid,,0,1,0.9984607491021037,0,1,0.8467583497053045,0,2
APP-0027,3785.0,,2000,employed,0.0,True,True,1162.0,3416.0,0,29.6,denied,defaulted,158.0,1,0,-1.0,0,0,0.3401639344262295,1,2
APP-0028,5301.0,5334.0,500,employed,3404.0,False,True,2338.0,4603.0,2,90.9,approved,defaulted,66.0,1,1,1.0062252405206564,0,1,0.5079296111231806,0,2
APP-0029,6723.0,6717.0,500,employed,3642.0,False,True,2315.0,5896.0,2,92.1,approved,repaid,,0,1,0.9991075412762159,0,1,0.39263907734056985,0,2
APP-0030,8341.0,7650.0,2000,self_employed,4757.0,False,True,6162.0,6720.0,2,80.8,approved,defaulted,55.0,1,1,0.9171562162810215,0,1,0.9169642857142857,0,1
APP-0031,5093.0,4806.0,2000,employed,2633.0,True,True,4314.0,4585.0,1,69.3,flagged_for_review,defaulted,95.0,1,1,0.9436481445120753,0,0,0.9408942202835333,0,2
APP-0032,5643.0,5188.0,500,employed,1627.0,False,True,2140.0,4727.0,2,91.5,approved,repaid,,0,1,0.9193691298954457,0,1,0.4527184260630421,0,2
APP-0033,921.0,945.0,500,unemployed,3252.0,False,False,672.0,914.0,1,48.1,denied,repaid,,0,1,1.0260586319218241,0,0,0.7352297592997812,0,0
APP-0034,985.0,997.0,2000,unemployed,3275.0,False,False,808.0,953.0,1,47.0,denied,repaid,,0,1,1.0121827411167512,0,0,0.8478488982161595,0,0
APP-0035,2664.0,2478.0,2000,self_employed,4457.0,True,False,984.0,2178.0,2,51.0,flagged_for_review,repaid,,0,1,0.9301801801801802,0,0,0.45179063360881544,0,1
